ubigeo,distrito,departamento,provincia,n_ipress,n_camas,n_ccpp,avg_dist_km,total_atenciones,total_atendidos,baseline_score,alternative_score,score_diff
150101,LIMA,LIMA,LIMA,44,2373.0,1,0.8243509115217436,7759984.0,5097477.0,100.0,99.78,0.22
150113,JESUS MARIA,LIMA,LIMA,9,2292.0,1,0.7525951889284053,3994316.0,2824305.0,50.91,52.78,-1.87
070102,BELLAVISTA,CALLAO,CALLAO,9,1380.0,1,0.15175132678692077,2774969.0,2270314.0,35.53,56.09,-20.56
040101,AREQUIPA,AREQUIPA,AREQUIPA,6,1481.0,1,0.6541433504722787,3445756.0,2143583.0,33.15,36.41,-3.26
150142,VILLA EL SALVADOR,LIMA,LIMA,20,248.0,1,0.4576813189670993,1757627.0,1210344.0,31.45,39.34,-7.89
150115,LA VICTORIA,LIMA,LIMA,8,983.0,1,0.8748176439424431,2579645.0,1859093.0,27.48,26.65,0.83
150133,SAN JUAN DE MIRAFLORES,LIMA,LIMA,30,376.0,2,0.4522972075249911,1733445.0,1411019.0,23.62,29.65,-6.03
130102,EL PORVENIR,LA LIBERTAD,TRUJILLO,14,26.0,1,0.5526654938754705,130878.0,124418.0,19.53,22.94,-3.41
150128,RIMAC,LIMA,LIMA,14,4.0,1,0.04798458575212393,296822.0,237762.0,19.16,33.35,-14.19
150122,MIRAFLORES,LIMA,LIMA,7,438.0,1,0.5220617107969155,4019719.0,3387385.0,16.93,20.24,-3.31
150141,SURQUILLO,LIMA,LIMA,6,426.0,1,0.6695376458537512,196753.0,154659.0,15.36,16.74,-1.38
130105,LA ESPERANZA,LA LIBERTAD,TRUJILLO,10,29.0,1,0.5603225160188005,609032.0,451546.0,14.13,16.51,-2.38
150120,MAGDALENA DEL MAR,LIMA,LIMA,3,590.0,1,0.4388375641663168,67552.0,53353.0,14.04,17.73,-3.69
150108,CHORRILLOS,LIMA,LIMA,26,62.0,3,0.2989386653007888,879750.0,708968.0,12.17,17.09,-4.92
150121,PUEBLO LIBRE,LIMA,LIMA,2,460.0,1,0.2229230877962696,1542904.0,1294229.0,10.48,15.57,-5.09
