ubigeo,distrito,departamento,provincia,n_ipress,n_camas,n_ccpp,avg_dist_km,total_atenciones,total_atendidos,baseline_score,alternative_score,score_diff
160804,YAGUAS,LORETO,PUTUMAYO,2,0.0,24,73.6324371151614,,,0.11,0.0,0.11
040604,CHICHAS,AREQUIPA,CONDESUYOS,0,0.0,34,37.07081158680105,,,0.0,0.0,0.0
040602,ANDARAY,AREQUIPA,CONDESUYOS,0,0.0,49,33.84800068045434,,,0.0,0.0,0.0
210404,KELLUYO,PUNO,CHUCUITO,0,0.0,235,33.078278382247476,,,0.0,0.0,0.0
040410,PAMPACOLCA,AREQUIPA,CASTILLA,0,0.0,88,32.85863050313351,851.0,346.0,0.0,0.0,0.0
040601,CHUQUIBAMBA,AREQUIPA,CONDESUYOS,0,0.0,53,32.694430141613964,6161.0,4609.0,0.0,0.0,0.0
040608,YANAQUIHUA,AREQUIPA,CONDESUYOS,0,0.0,74,29.12306300654171,,,0.0,0.0,0.0
040414,VIRACO,AREQUIPA,CASTILLA,0,0.0,43,26.273558984972635,,,0.0,0.0,0.0
040607,SALAMANCA,AREQUIPA,CONDESUYOS,0,0.0,75,26.056699935933235,,,0.0,0.0,0.0
040605,IRAY,AREQUIPA,CONDESUYOS,0,0.0,28,25.967560141701046,,,0.0,0.0,0.0
040411,TIPAN,AREQUIPA,CASTILLA,0,0.0,32,24.99579695056931,,,0.0,0.0,0.0
210402,DESAGUADERO,PUNO,CHUCUITO,0,0.0,109,24.46483658866712,26398.0,6237.0,0.0,0.0,0.0
160304,TROMPETEROS,LORETO,LORETO,3,17.0,68,23.10554950121628,4999.0,3368.0,0.06,0.0,0.06
160511,YAQUERANA,LORETO,REQUENA,2,0.0,22,21.791487693966193,,,0.12,0.01,0.11
040408,MACHAGUAY,AREQUIPA,CASTILLA,0,0.0,55,21.44194188579991,,,0.0,0.0,0.0
